player_id_norm,adaptive_group,group_assigned_ts,sessions_after_assignment,returned_within_1d,returned_within_3d,returned_within_7d
6ee16ed1-079a-4285-824a-0829afc0eb67,A,2026-03-09 20:04:46.638000+00:00,0,False,False,False
6c76a9db-f2f7-4a60-8719-9aa24ecb28eb,A,2026-03-09 20:15:58.584000+00:00,0,False,False,False
0393fd48-ed38-46f1-98d9-11dada5b0e7a,B,2026-03-09 21:02:46.136000+00:00,0,False,False,False
c02b5b38-3c74-407a-a22c-7399e81abab0,B,2026-03-09 21:02:45.362000+00:00,0,False,False,False
6110fd9b-67ab-41e3-b0f6-55d9db289f7d,B,2026-03-09 21:07:06.886000+00:00,0,False,False,False
1aceb40d-edcf-4ded-8dc0-fee502af882c,B,2026-03-09 21:31:23.516000+00:00,0,False,False,False
d2f127d4-9e22-4af1-bfd4-fc89fd422f85,B,2026-03-09 22:42:42.044000+00:00,0,False,False,False
c0a162c8-a010-464f-b9df-3d1e5900f905,A,2026-03-09 22:49:02.662000+00:00,0,False,False,False
cc57e7c4-f030-4fc5-97a3-69b1ff839fe5,B,2026-03-09 22:56:09.605000+00:00,0,False,False,False
e493e865-ed84-412b-ab4a-8aa9917906e0,B,2026-03-09 23:43:00.061000+00:00,0,False,False,False
36235b28-31dc-43c5-9c24-83f8c17a3811,B,2026-03-10 00:00:52.806000+00:00,0,False,False,False
d81125c8-890c-41c6-96de-73498ca1c66e,B,2026-03-10 00:01:38.025000+00:00,0,False,False,False
id-1773100917089-9d9303ebd7e868,B,2026-03-10 00:02:41.348000+00:00,0,False,False,False
d6affa50-f8db-412a-b4e8-078af35332d3,B,2026-03-10 00:03:20.648000+00:00,0,False,False,False
5a4af9e6-c4da-458b-89a1-688feebd76ea,B,2026-03-10 02:12:35.105000+00:00,0,False,False,False
e9430dbd-a0ca-415a-8750-b50246be8fa4,B,2026-03-10 07:23:22.280000+00:00,0,False,False,False
ea76136b-fccd-4151-a1b4-b3aa54f70c28,A,2026-03-10 07:33:12.583000+00:00,0,False,False,False
eb0a8d11-aed0-4930-bc11-ffb744e9a312,A,2026-03-10 19:59:40.377000+00:00,0,False,False,False
8d0708ab-5820-4fa8-b7a1-8234014ae672,A,2026-03-10 20:28:10.047000+00:00,0,False,False,False
9a9be149-d07a-4cb1-af2c-d4615f62fe08,B,2026-03-10 20:28:03.176000+00:00,0,False,False,False
65ebc39b-011b-451c-8f70-27305aa98815,B,2026-03-10 20:28:19.829000+00:00,0,False,False,False
5c0b72fd-dd81-4b9e-b360-d68f2dfa2870,B,2026-03-10 20:28:34.253000+00:00,2,True,True,True
1dfe3fd8-bace-46ba-8c70-7309282d85ff,B,2026-03-10 20:29:07.872000+00:00,0,False,False,False
ebc1de91-0c2b-44b2-9bfd-a0023836f27d,B,2026-03-10 21:55:51.889000+00:00,0,False,False,False
5e9eb531-3011-4e5d-aa5d-55b916faafd9,B,2026-03-10 21:56:41.428000+00:00,0,False,False,False
993375df-ad41-40c5-b454-967d437c1fe8,A,2026-03-10 22:20:16.645000+00:00,0,False,False,False
ee687cbc-a399-4fc9-afc9-1a362231b562,B,2026-03-10 22:20:47.141000+00:00,0,False,False,False
5f71ed49-bef7-4c9f-950a-1a88171361cd,A,2026-03-10 22:40:22.230000+00:00,0,False,False,False
352a8268-a8ee-4c38-92ac-32bec536ff8a,A,2026-03-10 22:50:25.772000+00:00,0,False,False,False
964598fc-9f1a-4811-bd53-902acc102de9,A,2026-03-11 05:29:05.048000+00:00,0,False,False,False
